org_name	org_abbr	tax_ID
Cryptococcus gattii CA1873	Cryp_gatt_CA1873	1296111: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii CBS 10090	Cryp_gatt_CBS_10090	1296101: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii CBS 7750	Cryp_gatt_CBS_7750	1385412: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii E566	Cryp_gatt_E566	1296102: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii EJB2	Cryp_gatt_EJB2	1296103: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii IND107	Cryp_gatt_IND107	1296105: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii LA55	Cryp_gatt_LA55	1296106: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii MMRL2647	Cryp_gatt_MMRL2647	1296117: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii NT-10	Cryp_gatt_NT_10	1296108: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii R265	Cryp_gatt_R265	552467: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii Ram5	Cryp_gatt_Ram5	1296110: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii Ru294	Cryp_gatt_Ru294	1296112: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii WM276	Cryp_gatt_WM276	367775: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
